D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
D,i/p button[+],"im a more happier person after discovering the i/p button ! 
D,dvd player[+],"but  if you 're looking for my opinion of the apex dvd player  i love it ! 
D,dvd player[+][p],"it practically plays almost everything you give it" 
D,player[+]sound[-],"i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor" 
D,price[+],"for the price it is a well spent investment ! 
D,dvd player[+][p],"this is by far the nicest one  in so many ways" 
D,look[+]panel button layout[+]feature[+],"it 's very sleek looking with a very good front panel button layout  and it has a great feature set" 
D,forward[+] rewind[+],"its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had" 
D,video format[+],"it plays alternate video formats ( vcds  svcds  cvds ) very well"
B,menu[-],"the one huge disappointment is that the phones manufactured for t-mobile lack many of the menus and functions that a nokia straight from the manufacturer should have" 
B,voice[-],"when talking the voice is not very clear"  
